Date,ASHR,FXI,KWEB,MCHI,SPY
2018-01-02,28.992219924926758,39.94352722167969,52.29286575317383,60.22148513793945,237.9091033935547
2018-01-03,29.276546478271484,40.286346435546875,52.6083984375,60.700618743896484,239.4139404296875
2018-01-04,29.3774356842041,40.42013168334961,53.11154556274414,61.0752067565918,240.42306518554688
2018-01-05,29.48750114440918,40.587371826171875,54.05813217163086,61.510772705078125,242.0252227783203
2018-01-08,29.496671676635742,40.72951889038086,54.70625305175781,61.8156623840332,242.4678955078125
2018-01-09,29.469158172607422,40.61244583129883,54.77447509765625,61.85051345825195,243.0166778564453
2018-01-10,29.643421173095703,40.65426254272461,54.015499114990234,61.606590270996094,242.64488220214844
2018-01-11,29.817686080932617,40.93855285644531,54.27985763549805,61.76340866088867,244.41517639160156
2018-01-12,30.184558868408203,41.632568359375,54.64656066894531,62.712928771972656,246.00857543945312
2018-01-16,30.31296157836914,41.64093017578125,54.35661315917969,62.15540313720703,245.16761779785156
2018-01-17,30.450546264648438,42.41020202636719,55.26909255981445,63.087520599365234,247.5045166015625
2018-01-18,30.61563491821289,42.70286560058594,55.200870513916016,63.20077896118164,247.08847045898438
2018-01-19,30.96416473388672,43.41360092163086,55.52492141723633,63.941226959228516,248.21261596679688
2018-01-22,31.321868896484375,43.65608596801758,55.704010009765625,64.38550567626953,250.23086547851562
2018-01-23,31.532819747924805,44.34174346923828,56.241268157958984,65.33505249023438,250.76197814941406
2018-01-24,31.81714630126953,44.609310150146484,56.41182327270508,65.50927734375,250.66458129882812
2018-01-25,31.62453842163086,44.015647888183594,57.000244140625,65.06499481201172,250.77084350585938
2018-01-26,31.963895797729492,45.15282440185547,58.27942657470703,66.83338928222656,253.6741180419922
2018-01-29,31.074235916137695,44.19123077392578,57.21343994140625,65.54412078857422,251.9923553466797
2018-01-30,30.780731201171875,43.46377182006836,55.729591369628906,64.32451629638672,249.40765380859375
2018-01-31,31.165950775146484,44.04072189331055,56.326541900634766,65.16954803466797,249.53152465820312
2018-02-01,30.716529846191406,43.405242919921875,55.06442642211914,63.6885871887207,249.24826049804688
2018-02-02,30.62481117248535,42.70286560058594,53.31621170043945,62.46902847290039,243.8221435546875
2018-02-05,30.367998123168945,41.707828521728516,51.585052490234375,60.61349868774414,233.6248779296875
2018-02-06,30.331308364868164,42.45200729370117,52.29286575317383,61.8679313659668,238.2278289794922
2018-02-07,28.93718910217285,40.18601608276367,51.13307571411133,59.48973846435547,236.93548583984375
2018-02-08,28.0291748046875,38.50532913208008,48.881717681884766,56.96345520019531,228.04824829101562
2018-02-09,27.304597854614258,38.56385040283203,49.90506362915039,57.34674835205078,231.473876953125
2018-02-12,28.14841079711914,39.040462493896484,51.15013122558594,58.35725402832031,234.8729705810547
2018-02-13,28.478595733642578,39.040462493896484,52.4207878112793,58.96706008911133,235.4572296142578
2018-02-14,29.001392364501953,40.227806091308594,54.8000602722168,60.822566986083984,238.63504028320312
2018-02-15,29.56087303161621,41.27301788330078,55.43965148925781,62.3470458984375,241.6799774169922
2018-02-16,29.56087303161621,41.2813835144043,54.765953063964844,62.059574127197266,241.75079345703125
2018-02-20,28.973876953125,40.44521713256836,55.26909255981445,61.52819061279297,240.23715209960938
2018-02-21,29.157312393188477,41.03889846801758,55.635780334472656,62.09442901611328,239.04214477539062
2018-02-22,29.331581115722656,40.78804397583008,55.13264846801758,61.989898681640625,239.35202026367188
2018-02-23,29.515016555786133,41.55732345581055,56.71030044555664,63.01782989501953,243.16708374023438
2018-02-26,30.157047271728516,42.092464447021484,56.07924270629883,63.59278106689453,245.9907989501953
2018-02-27,29.028905868530273,40.303077697753906,54.39925003051758,61.162315368652344,242.91928100585938
2018-02-28,28.7078914642334,39.48363494873047,54.06665802001953,60.2824592590332,240.4584503173828
2018-03-01,28.717063903808594,39.5170783996582,53.580570220947266,60.09081268310547,236.96202087402344
2018-03-02,29.019733428955078,39.5170783996582,54.56980895996094,60.09081268310547,238.18356323242188
2018-03-05,29.05642318725586,39.50872039794922,54.60391616821289,60.169219970703125,240.93646240234375
2018-03-06,29.450809478759766,39.81809616088867,55.20939254760742,60.77901840209961,241.54725646972656
2018-03-07,29.276546478271484,39.71775817871094,55.86604309082031,60.96194839477539,241.45872497558594
2018-03-08,29.395782470703125,39.86827087402344,56.06217956542969,61.20587158203125,242.62713623046875
2018-03-09,29.936920166015625,40.98036193847656,57.290191650390625,62.80876159667969,246.8494110107422
2018-03-12,29.872718811035156,41.07233810424805,57.443695068359375,63.061378479003906,246.53958129882812
2018-03-13,29.285722732543945,40.49538803100586,56.12187576293945,62.0073127746582,244.94631958007812
2018-03-14,29.42329978942871,40.72951889038086,56.64207458496094,62.48644256591797,243.6893768310547
2018-03-15,29.515016555786133,40.98036193847656,57.24755859375,63.19206237792969,243.42376708984375
2018-03-16,29.304061889648438,41.1308708190918,57.16227340698242,63.279170989990234,243.68780517578125
2018-03-19,29.276546478271484,40.61244583129883,56.30949020385742,62.3470458984375,240.39059448242188
2018-03-20,29.515016555786133,41.1643180847168,57.56307601928711,63.4708137512207,240.79940795898438
2018-03-21,29.267372131347656,40.97200012207031,57.26460647583008,62.878448486328125,240.3373565673828
2018-03-22,28.496936798095703,39.4000129699707,53.776710510253906,59.69880676269531,234.3295135498047
2018-03-23,27.698986053466797,38.43842697143555,52.94098663330078,58.44437026977539,229.33486938476562
2018-03-26,28.451078414916992,39.91844177246094,54.52716827392578,60.79643630981445,235.6092987060547
2018-03-27,28.139236450195312,39.349849700927734,52.17346954345703,59.515865325927734,231.60113525390625
